publish_on,release_date,video,cover,artist,name,label,review,related,fcc_notes,slug,artist_slug
2018-09-28,2018-09-28,youtube:ntthrYgpOKY,,Hippo Campus,Bambi,Grand Jury,"Nicely done collection of funky pop, or poppy funk.","Dr. Dog, Cage The Elephant, Grand Analog",Clean,hippo-campus-bambi,hippo-campus
2018-10-01,2018-10-01,youtube:sepcj45774I,,Kero Kero Bonito,Time n’ Place,Polyvinyl,The off-kilter combination of glossy vaguely Japanese pop and glitching vaguely Japanese noise treatments make for an interesting mix.,"Boyracer, Robyn, Poppy",Clean,kero-kero-bonito-time-n-place,kero-kero-bonito
2018-10-05,2018-10-05,youtube:2e7QR-SekHI,,Tokyo Police Club,TPC,Dine Alone,Solid collection of guitar-forward indie rock.,"Pulp, The Church, Metric","#6, #9",tokyo-police-club-tpc,tokyo-police-club
2018-10-08,2018-08-03,youtube:F1WZLlyrvKs,,The Love Language,Baby Grand,Merge,"Swirling with electronic highlights, these emotional songs provide multiple layers, angelic choruses, and expressive lyrics.","My Morning Jacket, New Pornographers, Death Cab for Cutie",Clean,the-love-language-baby-grand,love-language
2018-10-10,2018-08-03,youtube:GJJq5kruuic,,Rollercoasterwater,Degauss,,"Angular and glitchy while remaining melodic, this is a labyrinthine set of electronic compositions inviting attention to detail or outright zoning out.","Mouse on Mars, Tangerine Dream, Aphex Twin",Clean,rollercoasterwater-degauss,rollercoasterwater
2018-10-11,2018-08-24,youtube:k9JIk8dScAY,,Rubblebucket,Sun Machine,Grand Jury,"Like chocolate-covered potato chips, this mixture of disparate ingredients sounds unlikely but sounds delicious.","Metric, Portishead, Jamiroquai, Tom Tom Club",Clean,rubblebucket-sun-machine,rubblebucket
2018-10-12,2018-08-17,youtube:Jzda9D1fbSQ,,Cullen Omori,The Diet,Sub Pop,"A solid effort filled with gently sparkling guitar lines and subtle hooks, this manages to sound completely retro and current at the same time.","The Zombies, George Harrison, Smith Westerns","#7, #9",cullen-omori-the-diet,cullen-omori
2018-10-12,2018-10-12,youtube:k4ePufU0Gi0,,Yowler,Black Dog In My Path,Double Double Whammy,"Despite the name, this is understated and minimalistic, with sparse instruments and a haunting voice floating on top.","This Mortal Coil, Laura Gibson, Swans","#3, #7",yowler-black-dog-in-my-path,yowler
2018-10-13,2018-10-12,youtube:R5P5pgCi0oM,,Calvin Johnson,A Wonderful Beast,K,"It’s a fun party with Johnson, with his deep deep voice, laconic tone, and a boogie-down attitude from the Black Keys’ Patrick Carney","Dub Narcotic Sound System, Tom Tom Club, Beat Happening, The Black Keys",Clean,calvin-johnson-a-wonderful-beast,calvin-johnson
2018-10-14,2018-10-12,youtube:FlOpiLZd_z8,,Sick Thoughts,Sick Thoughts,Goner,"Short blasts of punk fury. Many unsafe tracks, but the rest are a lot good quick fun.","Ramones, Misfits, Agent Orange","#2, #5, #6, #7, #10, #12",sick-thoughts,sick-thoughts
2018-10-16,2018-08-24,youtube:fo7j2OIhay0,,White Denim,Performance,City Slang,"A modern amalgam of fuzz, psychedelia, baroque pop, and over-the-top production, filled with hooks baited with earworms.","Pond, T. Rex, Foxygen, The Black Keys",Clean,white-denim-performance,white-denim
2018-10-18,2018-08-31,youtube:Ap5dGbIXdIQ,,Mass Gothic,I’ve Tortured You Long Enough,Sub Pop,"Very carefully constructed selection of cavernous compositions studded with a grandiose feel, fine detail, and moody lyrics.","Arcade Fire, Suede, Pulp",Clean,mass-gothic-i-ve-tortured-you-long-enough,mass-gothic
2018-10-19,2018-10-19,youtube:41eHWpfleWY,,Cloud Nothings,Last Building Burning,Carpark,Great set of non-stop rocking from this one-man-band which turned into a full-blown outfit.,"Rocket From The Crypt, Jawbreaker, Portugal! The Man",Clean,cloud-nothings-last-building-burning,cloud-nothings
2018-10-26,2018-10-26,youtube:QWwvUyTIIT0,,Carbonas,Your Moral Superior,Goner,"Fast and furious punk blasts that are over by the time you catch up with the hook, keeping true to the Ramones’ quarter-mile aesthetic","Misfits, The Way-Outs, Ramones, The Dickies","#15, #23, #24, #25, #27, #36",carbonas-your-moral-superior,carbonas
2018-10-27,2018-10-26,youtube:ztC-iD4AgCU,,Laura Gibson,Goners,Barsuk,"Sparse and haunting, this minimal acoustic approach works well with Gibson’s unique fairy vocals.","Joanna Newsom, Jessca Hoop, Waxahatchie",Clean,laura-gibson-goners,laura-gibson
2018-11-02,2018-08-10,youtube:iwAsv0RXbAw,,Bird Streets,Bird Streets,Omnivore,"Smart guitar pop never goes out of style, and sharp lyrics make it all the better.","Jason Falkner, Death Cab For Cutie, XTC",Clean,bird-streets,bird-streets
2018-11-02,2018-11-02,youtube:WnTaMWlLlZ0,,The Holy Knives,Year of the Black Dog,,"Dark and bombastic, this is full of dragged-out ballads and dramatic pauses for moody rainy evenings","Nick Cave, Gallon Drunk",Clean,the-holy-knives-year-of-the-black-dog,holy-knives
2018-11-04,2018-08-24,youtube:oWwu43kTf2g,,Brick + Mortar,Meta Meta Etc.,,"Diverse mix of influences, from synth pop to hip hop to plain old indie rock.","The Postal Service, Tears for Fears, The Decembrists",9,brick-mortar-meta-meta-etc,brick-mortar
2018-11-06,2018-08-24,youtube:gLk8i2zw2jU,,Interpol,Marauder,Marauder,"Overthinking garage rock never goes out of style, and Interpol continues to put out albums that sound just like Interpol.","The Strokes, The Yeah Yeah Yeahs, Midnight Oil","9,11",interpol-marauder,interpol
2018-11-08,2018-08-24,youtube:Q0gG0DtbPcY,,Blood Orange,Negro Swan,Domino,This is a smooth collection of beats and grooves filled with intricate chord work and surprising vocals.,"Steely Dan, De La Soul, The Dirty Projectors, A Tribe Called Quest","5,9,16",blood-orange-negro-swan,blood-orange
2018-11-09,2018-11-09,youtube:ANh8LySyJUg,,J Mascis,Elastic Days,Sub Pop,"A next-generation Neil Young, J Mascis blends massive guitar riffs, introspective lyrics, and a whiny delivery to great effect.","Neil Young, Dinosaur Jr., Sebadoh",Clean,j-mascis-elastic-days,j-mascis
2018-11-10,2018-08-31,youtube:CDIpxXohkyI,,Iron and Wine,Weed Garden EP,Sub Pop,"A brief taste of Iron and Wine’s evolving style, filling out the expected introspective strumming with updated production and a fuller “band” feel.","Nick Drake, Wilco, Yo La Tengo",Clean,iron-and-wine-weed-garden-ep,iron-wine
2018-11-11,2018-11-09,youtube:Cx8qITIIRiU,,Charles Bradley,Black Velvet,Daptone,Posthumous release for this powerhouse soul singer. Perfect for a ‘70s cop drama.,"Marvin Gaye, Otis Redding, Sam Cooke",Clean,charles-bradley-black-velvet,charles-bradley
2018-11-12,2018-09-07,youtube:wVdvGV18b6o,,Jesse and the Dandelions,Give Up The Gold,,"Thoughtful and delicate, this collection of songs features a variety of near-pastoral pop tunes.","Real Estate, The Monolith, Ben Folds",Clean,jesse-and-the-dandelions-give-up-the-gold,jesse-dandelions
2018-11-14,2018-09-07,youtube:MUf7fLuq5TM,,Shannen Moser,I’ll Sing,Lame-O,A distinctive voice and a careful meandering through the forests between Americana and indie rock make this a memorable set of songs.,"Shannon Wright, Joanna Newsom, Jessca Hoop",#2,shannen-moser-i-ll-sing,shannen-moser
2018-11-15,2018-11-09,youtube:ll_RNl_WO4s,,Jon Spencer,Spencer Sings The Hits,In The Red,"Spencer delivers another trash-talkin’, leg-humpin’, hip-grindin’ album in his particular inimitable style.","The Cramps, The Oblivians, Pussy Galore","#2, #9",jon-spencer-spencer-sings-the-hits,jon-spencer
2018-11-16,2018-09-10,youtube:TEl0M3gTgOc,,Le Shok,We Are Electrocution,Burger,"Short blasts of raw fury, seething with rage, dirty keyboards, and quite a lot of fun.","Rondelles, Brainiac, Oblivians","1,2,3,4,5,8,11",le-shok-we-are-electrocution,le-shok
2018-11-17,2018-09-14,youtube:jvEozu4Obfs,,Low,Double Negative,Sub Pop,This is the old Low turned up to 15. All hail the new Low! Note: This is very noisy and distorted. The machinery is not acting up.,"Cowboy Junkies, Sunn O))), This Mortal Coil, Brian Eno","#1, #6",low-double-negative,low
2018-11-18,2018-09-19,youtube:UNwo0dWvWt4,,Mudhoney,Digital Garbage,Sub Pop,"The Neanderthals of the Seattle “grunge” sound remain in top form with eleven angry, buzzing indictments of modern living.","The Sonics, The Stooges, Nirvana","2,6,7,10",mudhoney-digital-garbage,mudhoney
2018-11-19,2018-10-05,youtube:u8aqtYtQ9ac,,mewithoutYou,[untitled],Run For Cover,Somewhat screamy post-punk filled with jagged stabs of guitar and a thundering rhythm section that casually locks in weirdly-metered fills.,"McClusky, Fugazi, Pinback",Clean,mewithoutyou-untitled,mewithoutyou
2018-11-20,2018-09-28,youtube:fh3-spWGiEI,,Wyves,R U OK?,,"Strutting around in Seventies duds, these songs get to the heart of the matter in 9 mile-per-gallon, leaded-gas-only style.","Led Zeppelin, White Denim, Wolfmother",Clean,wyves-r-u-ok,wyves
2018-11-21,2018-10-05,youtube:1iaArL6rYl4,,Fucked Up,Dose Your Dreams,Merge,"You can call them EFFED UP if you like. A solid and expansive set of music that draws from psychedelia, hardcore, punk, rough-cut ska, and many more.","The Mekons, Buzzcocks, The Mighty Mighty Bosstones",Clean,fucked-up-dose-your-dreams,fucked-up
2018-11-22,2018-10-19,youtube:0bLTBP9VMnY,,The Brother Brothers,Some People I Know,Compass,"If you like bands with Brothers in the name, the kind that pluck guitars, plunk banjos, and sing in close harmonies, here’s some more great stuff.","The Moore Brothers, Simon and Garfunkel, Avett Brothers",Clean,the-brother-brothers-some-people-i-know,brother-brothers
2018-11-23,2018-10-05,youtube:jBnrFlHDQfM,,King Brothers,Wasteland,Mach Club,Another all-out rock-and-roll assault from Japan … they never get bored and neither do I.,"Zoobombs, Black Crowes, Melvins",,king-brothers-wasteland,king-brothers
2018-11-24,2018-10-26,youtube:z91SpbyZsiw,,The Bad Man,Laughing With Bad Teeth,,"The macabre sounds of The Bad Man will appeal to those who like dark carnivals and shadowy ringmasters rasping out bits of polka, sea shanty, ska, and more.","Man Man, Tom Waits, Mischief Brew, World/Inferno Friendship Society",Clean,the-bad-man-laughing-with-bad-teeth,bad-man
2018-11-25,2018-10-26,youtube:33J6FYNR9Xo,,The Skiffle Players,Skiff,Spiritual Pajamas,"Words like “rollicking”, “thumping”, and “boisterous” apply to this fun mix of blues, boogie, and mystery meats.","Ween, Marshall Crenshaw, Mano Negra, Oranga Tanga",,the-skiffle-players-skiff,skiffle-players
