special,podcast,podcast_airdate,podcast_sequence,radio_airdate,radio_sequence,song,artist,album,time,notes,break,asin,itunes
,,,,2008-09-30,03,BREAK,,,,BREAK,X,,
,,,,2008-09-30,04,A Minha Meninha,Os Mutantes,,,"Brazilian psychedelica -- Thanks, uncle Dave!",,,
,,,,2008-09-30,05,Baby’s On Fire,Brian Eno,,,"And speaking of Byrne, here’s some Eno",,,
,,,,2008-09-30,06,I Have A Dream,Band Marino,,,"Outta Orlando, check them out before you have to wait in line",,,
,,,,2008-09-30,07,BREAK,,,,BREAK,X,,
,,,,2008-09-30,08,Star Position,Marcellus Hall,,,Vocalist of White Hassle,,,
,,,,2008-09-30,09,Let My Burden Be,Golden Shoulders,,,Another standout GS track,,,
,,,,2008-09-30,10,Funky Days Are Back,Cornershop,,,British Hindo-funk,,,
,,,,2008-09-30,11,BREAK,,,,BREAK,X,,
,,,,2008-09-30,12,Where’s The Fire,Head of Femur,,,"Gadzooks, that sound",,,
,,,,2008-09-30,13,Miss Madison,Hands Down Eugene,,,Some Athens stuff,,,
,,,,2008-09-30,14,Relentless Machine,Thomas Function,,,Lives up to its name,,,
,,,,2008-09-30,15,BREAK,,,,BREAK,X,,
,,,,2008-09-30,16,Broke A Promise,Guv’ner,,,Old favorite,,,
,,,,2008-09-30,17,Dance Jack Palance,The Gomers,,,Reissue of obscure (maybe rightfully so) album. Check out the vibe solo!,,,
,,,,2008-09-30,18,Are You Receiving Me?,XTC,,,Kinda goes with the last track!?,,,
,,,,2008-09-30,19,BREAK,,,,BREAK,X,,
,,,,2008-09-30,20,Sorry Mama,Westbound Train,,,"Rocksteady from Boston, shoutout to Gene Bovineska!",,,
,,,,2008-09-30,21,Havana,The Mabuses,,,How do you pronounce it?,,,
,,,,2008-09-30,22,Conjugate The Verbs,Enon,,,,,,
,,,,2008-09-30,23,BREAK,,,,BREAK,X,,
,,,,2008-09-30,24,Chick Habit,April March,,,"From Planet Terror, watch it.",,,
,,,,2008-09-30,25,"White Sheets, Tight Bed",Mastretta,,,From Spain!,,,
,,,,2008-09-30,26,Meninblack,Stranglers,,,Release successfully negotiated by Steve,,,
,,,,2008-09-30,27,BREAK,,,,BREAK,X,,
,,,,2008-09-30,28,Sweat Indoors,Mitsoobishy Jackson,,,Dutch? Belgian?,,,
,,,,2008-09-30,29,Moosh,Colorstore,,,From Phoenix AZ!,,,
,,,,2008-09-30,30,Cut Your Hair,Pavement,,,feat. Steven Malkmus,,,
,,,,2008-09-30,31,BREAK,,,,BREAK,X,,
