special,podcast,podcast_airdate,podcast_sequence,radio_airdate,radio_sequence,song,artist,album,time,notes,break,asin,itunes
,,,,2015-10-06,32,Happy Torso Bloody Torso,We Wrote The Book On Connectors,Almost The Mayors Of Lasers,,Best band name,,,
,,,,2015-10-06,33,BREAK,,,,,,,
,,,,2015-10-06,34,Catgroove,Parov Stelar,The Art Of Sampling (Disc 1),,Electroswinging it,,,
,,,,2015-10-06,35,Covert Discretion,Freeman,Freeman,,"Telll us how you feel, Gene",,,
,,,,2015-10-06,36,Funeral Face,Suburban Kids With Biblical Names,Indie/Rock 2007,,Another great band name,,,
,,,,2015-10-06,37,In Flight,The Anubian Lights,Naz Bar,,Shortness,,,
,,,,2015-10-06,38,BREAK,,,,,,,
,,,,2015-10-06,39,Secrets,Xavier Rudd,Dark Shades Of Blue,,Dubbing one out,,,
,,,,2015-10-13,00,Playlist for 2015-10-13,,,,,X,,
,,,,2015-10-13,01,Summertime,Wayne Hancock,Swing Time,,Live as all get out,,,
,,,,2015-10-13,02,BREAK,,,,,,,
,,,,2015-10-13,03,Why Generation,Fidlar,Too,,Rawckus,,,
,,,,2015-10-13,04,Jesus Christ In Reverse,Get Set Go,"Get Set Go Presents Sunshine, Joy, And Happiness",,Keeping it low key,,,
,,,,2015-10-13,05,Tu Color Café,Mariana Montalvo,Cantos Del Alma,,Sing it boys,,,
,,,,2015-10-13,06,Ghost In The Trees,Thee Oh Sees,The Master's Bedroom Is Worth Spending A Night In,,What started it,,,
,,,,2015-10-13,07,BREAK,,,,,,,
,,,,2015-10-13,08,Keep On Going,SPb. Ska-Jazz Review,Archive CK,,Sunny music from a cold place,,,
,,,,2015-10-13,09,The Hungry Wolf,X,Under The Big Black Sun (Expanded Edition),,Rumbling the toms,,,
,,,,2015-10-13,10,Tulsa Rags,Stewart Copeland,Rumble Fish,,Keeping the rumblefish going,,,
,,,,2015-10-13,11,Figure it Out,Royal Blood,Entourage (Original Motion Picture Soundtrack),,Led Zeppely,,,
,,,,2015-10-13,12,BREAK,,,,,,,
,,,,2015-10-13,13,Joyride,Lida Husik,Joyride,,A hazy one at that,,,
,,,,2015-10-13,14,Systematic Death,Jeffrey Lewis,12 Crass Songs,,Clinkerty clink,,,
,,,,2015-10-13,15,Out of Breath,Frank Turner,Positive Songs for Negative People,,Pretty rowdy for Frank,,,
,,,,2015-10-13,16,Mind Man,Harum Scarum,Death Is A Dream,,Want to see them again,,,
,,,,2015-10-13,17,BREAK,,,,,,,
,,,,2015-10-13,18,Golden Cloak,Marmoset,Record In Red,,Happy chimes,,,
,,,,2015-10-13,19,Silver,Pixies,Doolittle (MFSL),,At their doomiest,,,
,,,,2015-10-13,20,Believo!,Enon,Believo!,,The woozy Enon,,,
,,,,2015-10-13,21,Java,Allen Toussaint,Roots of Funk 1947-1962 (CD 1),,Gotta have it,,,
,,,,2015-10-13,22,BREAK,,,,,,,
,,,,2015-10-13,23,Let The Song Play,Robb Benson,A Collection Of Songs That I Forgot To Tell You About,,Recently shorn,,,
,,,,2015-10-13,24,Bossa Nova Hand Dance,Connie Francis,,,That Connie was something,,,
,,,,2015-10-13,25,Golden Brown,Stranglers,Snatch,,Almost waltz time,,,
,,,,2015-10-13,26,Marble Tulip Juicy Tree,Ween,God Ween Satan: The Oneness,,From the start,,,
,,,,2015-10-13,27,BREAK,,,,,,,
,,,,2015-10-13,28,Ginger,The Front Bottoms,Back On Top,,Risky business,,,
,,,,2015-10-13,29,Ouisghian Zodahs in Panoply,aMiniature,DepthFiveRateSix,,From San Diego,,,
,,,,2015-10-13,30,Never Met A German,Brazilian Girls,Talk To La Bomb,,I think she has,,,
,,,,2015-10-13,31,Lies,The Raging Teens,Rock `n' Roll Party,,You must think my head is filled with hay,,,
,,,,2015-10-13,32,BREAK,,,,,,,
,,,,2015-10-13,33,Who Stole the Show,Brassy,Got It Made,,Thumping and booming,,,
,,,,2015-10-13,34,Welcome To My World,Giant Sand,Ramp,,Old and gentle,,,
,,,,2015-10-13,35,This Old Town,House of Freaks,All My Friends,,Say goodbye to this old town,,,
,,,,2015-10-13,36,Thundergust Of Woodpeckers,Prizzy Prizzy Please,Prizzy Prizzy Please,,Far out punk,,,
,,,,2015-10-13,37,Boo Barry Blip,Barry Black,Barry Black,,The Archers of Loaf connection,,,
,,,,2015-10-13,38,BREAK,,,,,,,
,,,,2015-10-13,39,Destory All Music,Thingy,"Songs About Angels, Evil, and Running Around on Fire",,"Is it really ""Destory""?",,,
,,,,2015-10-13,40,Tied To The Tracks,Treat Her Right,Tied to the Tracks,,Mr. Sandman,,,
,,,,2015-10-13,41,Funky Albatross,Mr. Bird,Bird Bird Bird,,Lounging about,,,
,,,,2015-10-13,42,Gladiator,The Jesus Lizard,Bang,,Brutal as always,,,
,,,,2015-10-13,43,BREAK,,,,,,,
,,,,2015-10-13,44,Team Minus Zero,Zero Zero,A.M. Gold,,All the way to the end,,,
,,,,2015-10-20,00,Playlist for 2015-10-20,,,,,X,,
,,,,2015-10-20,01,Reciprocal Servant,,,,,,,
,,,,2015-10-20,02,Shadow + Dust,,,,,,,
,,,,2015-10-20,03,Downtown Julie Brown,,,,,,,
,,,,2015-10-20,04,Road Less Traveled,,,,,,,
,,,,2015-10-20,05,Jimine Cricket,,,,,,,
,,,,2015-10-27,00,Playlist for 2015-10-27,,,,,X,,
,,,,2015-10-27,01,I Turned Into A Martian,The Misfits,,,Because Halloween,,,
,,,,2015-10-27,02,BREAK,,,,,,,
,,,,2015-10-27,03,There Goes A Tenner,J Davis Trio,,,Vaguely Kate Bush,,,
,,,,2015-10-27,04,Sugarman's Boogaloo,The Sugarman 3,,,Shuffle off,,,
,,,,2015-10-27,05,Cade's Requiem,The Basement Scene,,,From a Brevard basement,,,
,,,,2015-10-27,06,King of the Road,Roger Miller,,,No phone no pool no pets,,,
,,,,2015-10-27,07,BREAK,,,,,,,
,,,,2015-10-27,08,Great Five Lakes,Buffalo Daughter,,,Beep beep beep,,,
,,,,2015-10-27,09,The Grande Gallope,L. Solomon,,,Feeling horny,,,
,,,,2015-10-27,10,So What's New?,Montefiori Cocktail,,,Italian samba time,,,
,,,,2015-10-27,11,Go Shopping,Bran Van 3000,,,Feat. Eeek-a-mouse,,,
,,,,2015-10-27,12,BREAK,,,,,,,
,,,,2015-10-27,13,Negrume Da Noite,Virginia Rodriguez,,,Universo de beleza,,,
,,,,2015-10-27,14,Skanky Panky,Kid Koala,,,Not messing around,,,
,,,,2015-10-27,15,Just One Of Those Things,Brazilian Girls,,,Mixing up,,,
,,,,2015-10-27,16,Growin' a Beard,Ben Vaughn,,,"This nine to five routine, it don't agree with me",,,
,,,,2015-10-27,17,BREAK,,,,,,,
,,,,2015-10-27,18,Frontier Psychologist,The Avalanches,,,A solitary figure,,,
,,,,2015-10-27,19,Rosarito,Nortec Collective,,,Mexican bounce,,,
,,,,2015-10-27,20,Diary of a Lost Girl,Christian Zimmerman,,,,,,
,,,,2015-10-27,21,Las Paya No Puen Entra Al Lowen,Rakel Wnchester,,,From Spain,,,
,,,,2015-10-27,22,BREAK,,,,,,,
,,,,2015-10-27,23,Ambulance,Simian Mobile Disco,,,Fun ride,,,
,,,,2015-10-27,24,Halfsharkalligatorhalfman,Dr. Octagon,,,Bathtime,,,
,,,,2015-10-27,25,The Souvlak,Boom Pam,,,"Somewhat Greek, no?",,,
,,,,2015-10-27,26,Sweet Librarian,Railroad Jerk,,,Can't be helped,,,
,,,,2015-10-27,27,BREAK,,,,,,,
,,,,2015-10-27,28,Ramblin' Man,Lemon Jelly,,,All these places,,,
,,,,2015-10-27,29,Mami Te Extrano,Los Amigos Invisibles,,,Animo!,,,
,,,,2015-10-27,30,Luna De Miel,Mastretta,,,Honeymoon time,,,
,,,,2015-10-27,31,I Feel Good,Drink Me,,,A low-key sort of good,,,
,,,,2015-10-27,32,BREAK,,,,,,,
,,,,2015-10-27,33,Tales of Brave Ulysses,Cream,,,,,,
,,,,2015-10-27,34,Hablas Conmigo Senor???,Torpedo Boyz,,,Conoces el Pelicano?,,,
,,,,2015-10-27,35,I Feel Love,Donna Summer,,,Giorgo Moroder Deluxe,,,
,,,,2015-10-27,36,Hey Baby,Mocean Worker,,,A dornishman!,,,
,,,,2015-11-03,00,Playlist for 2015-11-03,,,,,X,,
,,,,2015-11-03,01,Makin' Whoopee,The Allstonians,Club Ska '99,,Nat King Cole?,,,
,,,,2015-11-03,02,BREAK,,,,,,,
,,,,2015-11-03,03,Big and Black,CocoRosie,Heartache City,,"Yes, big and black",,,
,,,,2015-11-03,04,Teenage Dogs in Trouble,Young Fresh Fellows,The Fabulous Sounds of the Pacific Northwest,,More trouble ahead,,,
,,,,2015-11-03,05,Action Movie,SPb. Ska-Jazz Review,Elephant Riddim [BP 08-15],,Non-stop!,,,
,,,,2015-11-03,06,BREAK,,,,,,,
,,,,2015-11-03,07,Bleeding Brain Grow,MC Paul Barman,Paullelujah!? Remastered + Bonused,,Hello disorder,,,
,,,,2015-11-03,08,Rubber Car,Enon,Believo!,,Wobbly as tires,,,
,,,,2015-11-03,09,Pretty Pimpin,Kurt Vile,b'lieve i'm goin down...,,Folk music for sad folk,,,
,,,,2015-11-03,10,Sleeping Sleepers Sleep,Portugal. The Man,Church Mouth,,The slow majestic,,,
,,,,2015-11-03,11,BREAK,,,,,,,
,,,,2015-11-03,12,Surfin Bird - The Trashmen,The Trashmen,Songs The Cramps Taught Us - Volume One,,There it is,,,
,,,,2015-11-03,13,A Fistful of Deutschmarks,Shazalakazoo,"The Balkan Club Night, Volume 2",,Stuttering Balkania,,,
,,,,2015-11-03,14,Hide Me From Next February,Les Savy Fav,Rome (Written Upside Down),,Got a couple of months to do it in,,,
,,,,2015-11-03,15,The Ocean,Led Zeppelin,Houses Of The Holy,,Drop that beat,,,
,,,,2015-11-03,16,BREAK,,,,,,,
,,,,2015-11-03,17,Astronaut,Starfucker,Astronaut/Little Lover,,Space bubbles,,,
,,,,2015-11-03,18,World Full of Cops,Paleface,Paleface,,What time is it?,,,
,,,,2015-11-03,19,Nosebleed,Thingy,"Songs About Angels, Evil, and Running Around on Fire",,Shower music,,,
,,,,2015-11-03,20,Personal Midget/Cain's Ballroom,Stewart Copeland,Rumble Fish,,Fantastic soundtrack,,,
,,,,2015-11-03,21,BREAK,,,,,,,
,,,,2015-11-03,22,Automatic Doom,Yo La Tengo,Stuff Like That There,,Soft and deadly,,,
,,,,2015-11-03,23,No Competition,Brassy,Got It Made,,None at all,,,
,,,,2015-11-03,24,Caravan,The Arthur Lyman Group,Singles A,,One such version,,,
,,,,2015-11-03,25,BREAK,,,,,,,
,,,,2015-11-03,26,Summer Nights,Shenandoah and the Night,100 Wants,,Like Florence and the Machine?,,,
,,,,2015-11-03,27,We Saw Jerry's Daughter,Camper Van Beethoven,Camper Van Beethoven,,Where's the surprise truck?,,,
,,,,2015-11-03,28,December 4th,Marmoset,Record In Red,,Not at all a small monkey,,,
,,,,2015-11-03,29,Just to Put Me Down,Mac DeMarco,Another One,,Silky pop wonderment,,,
,,,,2015-11-03,30,BREAK,,,,,,,
,,,,2015-11-03,31,Celebrating Nothing,Phantogram,Voices,,I'll take two,,,
,,,,2015-11-03,32,Straight To Hell,Skinnerbox,City Rockers: A Tribute To The Clash,,For Junior,,,
,,,,2015-11-03,33,Planet of Women,Sonny & the Sunsets,Tidal Wave,,Is it Gazorpazorp?,,,
,,,,2015-11-03,34,From The Sun,Unknown Mortal Orchestra,II,,I'm being pulled in,,,
,,,,2015-11-03,35,BREAK,,,,,,,
,,,,2015-11-03,36,"Beers, Steers & Queers",Revolting Cocks,"Trax! Box (Beers, Steers & Queers)",,The Village People are popular,,,
,,,,2015-11-03,37,You Can't Change the World Anymore,House of Freaks,All My Friends,,Keeping it low-key,,,
,,,,2015-11-03,38,Sing Sing Sing [Live],Los Straitjackets,¡Damas y Caballeros!,,Krupa krupa krupa,,,
,,,,2015-11-03,39,Waitin' For The Bus,ZZ Top,The Complete Studio Albums 1970-1990,,Where's that confounded bus?,,,
,,,,2015-11-03,40,BREAK,,,,,,,
,,,,2015-11-03,41,Gebrauchsmusik ,Erobique,The New Testament Of Funk Vol.1-3,,Can'ts stops its.,,,
,,,,2015-11-10,00,Playlist for 2015-11-10,,,,,X,,
,,,,2015-11-10,01,Friday I'm In Love,Yo La Tengo,Stuff Like That There,,Why can't I remember the name?,,,
,,,,2015-11-10,02,BREAK,,,,,,,
,,,,2015-11-10,03,Drift,Ratatat,Magnifique,,Hypnotisizing,,,
,,,,2015-11-10,04,Refrigerator,Patrick Duff,Luxury Problems,,Going out to Melissa's refrigerator,,,
,,,,2015-11-10,05,Drive By Buddy,Black Lips,Underneath the Rainbow,,Quite Monkees,,,
,,,,2015-11-10,06,Hairbone,Atomic 7,...Gowns By Edith Head,,All too short,,,
,,,,2015-11-10,07,Jota,Bob Weisenberg,American Gypsy,,Some virtuoso guitar,,,
,,,,2015-11-10,08,BREAK,,,,,,,
,,,,2015-11-10,09,All I Really Wanted,Manchester Orchestra,Cope,,Blasting out,,,
,,,,2015-11-10,10,You Are What You Is,The Persuasions,The Persuasions Sing Zappa,,Mark and I surely miss Frank,,,
,,,,2015-11-10,11,Wave of Depression,Thingy,"Songs About Angels, Evil, and Running Around on Fire",,Can I say folk-prog-metal?,,,
,,,,2015-11-10,12,Hurting,Brent Amaker,Blood Diamonds,,So cheerful,,,
,,,,2015-11-10,13,BREAK,,,,,,,
,,,,2015-11-10,14,Flatness,Uncle Tupelo,No Depression [Bonus Tracks],,Too hot to last,,,
,,,,2015-11-10,15,"Listen to this Song, Kill Pigs, and Try to Sue Me",Heavy Vegetable,The Amazing Undersea Adventures of Aqua Kitty and Friends,,Song title of the night,,,
,,,,2015-11-10,16,Idlewild Blue (Don't Chu Worry 'Bout Me),Andre 3000,Idlewild,,Keep you on your toes,,,
,,,,2015-11-10,17,Sky In Your Eyes,The Hillbilly Moon Explosion,Damn Right Honey!,,Librarians dig it,,,
,,,,2015-11-10,18,BREAK,,,,,,,
,,,,2015-11-10,19,You Know My Name (Look Up The Number),The Beatles,"Mono Masters, Vol. 2 [2009 Mono Remaster]",,Because I'm now available,,,
,,,,2015-11-10,20,Heaven Is For Easy Girls,The Awkward Stage,Heaven Is For Easy Girls,,Is that really true?,,,
,,,,2015-11-10,21,Work It Out,Brassy,Got It Made,,Exercise music,,,
,,,,2015-11-10,22,Why Won't You Call Me Back?,My Robot Friend,Hot Action!,,STUVWXY won't you call me back?,,,
,,,,2015-11-10,23,BREAK,,,,,,,
,,,,2015-11-10,24,Leave Me Alone,Fidlar,Too,,These punks burn it up,,,
,,,,2015-11-10,25,Steve Albini,The Black Watch,Seven Rollercoasters,,An Ode to the Man,,,
,,,,2015-11-10,26,Behind My Camel,Primus,Rhinoplasty,,Andy Summers #3,,,
,,,,2015-11-10,27,Sally,The Police,Outlandos d'Amour,,Andy Summers #1,,,
,,,,2015-11-10,28,BREAK,,,,,,,
,,,,2015-11-10,29,Bright Whites,Kishi Bashi,Philosophize! Chemicalize!,,Rolling hills of sound,,,
,,,,2015-11-10,30,Perfidia,SPb. Ska-Jazz Review,Archive CK,,Loving these guys,,,
,,,,2015-11-10,31,Q Samba,Arto Lindsay,Mundo Civilizado,,Angular yet smooth,,,
,,,,2015-11-10,32,Trek to Stupidity,Young Fresh Fellows,The Fabulous Sounds of the Pacific Northwest,,For the folks in IT!,,,
,,,,2015-11-10,33,BREAK,,,,,,,
,,,,2015-11-10,34,Spanish Bombs,Tijuana No,Lo Mejor de Tijuana No,,Mexican Misfits,,,
,,,,2015-11-10,35,Paullelujah,MC Paul Barman,Paullelujah!? Remastered + Bonused,,Rrrrrrrrrecess!,,,
,,,,2015-11-10,36,Ocean's Deep,Born Ruffians,Birthmarks,,At breakneck pace,,,
,,,,2015-11-10,37,BREAK,,,,,,,
,,,,2015-11-10,38,Otto,Blue Skies For Black Hearts,Love is Not Enough,,Small and furry,,,
,,,,2015-11-10,39,Backwood,Shantel,Bar Lounge Classics Volume 3,,In a downtempo mood,,,
,,,,2015-11-10,40,Vandalize,Luther Dickinson,Rock 'n Roll Blues,,From the N. Miss All-Stars,,,
,,,,2015-11-10,41,Robot Trouble,Barcelona,Robot Trouble,,3:13,,,
,,,,2015-11-10,42,BREAK,,,,,,,
,,,,2015-11-10,43,What Was Left Was Red,The Leaving Trains,Sleeping Underwater Survivors,,6:28,,,
,,,,2015-11-17,00,???,,,,,X,,
,,,,2015-11-24,00,Replay of 2013-04-30,,,,,X,,
,,,,2015-12-01,00,Playlist for 2015-12-01,,,,,X,,
,,,,2015-12-01,01,Guns Of Brixton,Nouvelle Vague & Camille,Bleep 100 Tracks 2004 - 2014,,Start with the finest ingredients,,,
,,,,2015-12-01,02,BREAK,,,,,,,
,,,,2015-12-01,03,Down And Out,The Jon Spencer Blues Explosion,Freedom Tower - No Wave Dance Party 2015,,The good stuff,,,
,,,,2015-12-01,04,Peanuts,The Police,Outlandos d'Amour,,Was that one of Stewart's?,,,
,,,,2015-12-01,05,Zionista,Bipolar Bear,Mountain Dewd,,Dig the band name,,,
,,,,2015-12-01,06,BREAK,,,,,,,
,,,,2015-12-01,07,Jungle Bells,The Blue Hawaiians,Christmas On Big Island,,"Snuck in, kept it",,,
,,,,2015-12-01,08,Loathsome Idols,Brian Dewan,The Operating Theater,,Heavy zither,,,
,,,,2015-12-01,09,Lilly,Toro y Moi,What For?,,Hot melody fondue,,,
,,,,2015-12-01,10,Normal Phoebe,Mike Gordon,The Last Step ,,We all know one,,,
,,,,2015-12-01,11,BREAK,,,,,,,
,,,,2015-12-01,12,Locked 'n' Loaded,Pluto,Pluto,,Sweet maple fuzz,,,
,,,,2015-12-01,13,Love Rhymes With Hideous Car Wreck,Blood Brothers,Love Rhymes With Hideous Car Wreck [EP],,Dancing on Lego,,,
,,,,2015-12-01,14,Dust My Broom,ZZ Top,The Complete Studio Albums 1970-1990,,Good evening Ty!,,,
,,,,2015-12-01,15,BREAK,,,,,,,
,,,,2015-12-01,16,Warm Leatherette,Chicks On Speed,The Re-Releases of the Unreleases,,Warm me up,,,
,,,,2015-12-01,17,Precious,The Pretenders,Pretenders,,Such terrible mastering,,,
,,,,2015-12-01,18,Back To The Flood,Blank Realm,Grassed Inn,,Very Glassy,,,
,,,,2015-12-01,19,In My Dreams,JEFF The Brotherhood,Wasted On The Dream,,4:18,,,
,,,,2015-12-01,20,BREAK,,,,,,,
,,,,2015-12-01,21,Die In Style,The Hillbilly Moon Explosion,Damn Right Honey!,,Still wrapping my head around this band,,,
,,,,2015-12-01,22,Rhythm & Light,The Aggrolites,Reggae Hit L.A.,,Instrumental magic,,,
,,,,2015-12-01,23,Dirt,Andre Williams,Hoods and Shades,,"Tell it like it is, professor",,,
,,,,2015-12-01,24,Make You Mine,Black Lips,Underneath the Rainbow,,Sloppy lovin',,,
,,,,2015-12-01,25,BREAK,,,,,,,
,,,,2015-12-01,26,Wild Wild Lover,The Stillmen,All Hopped Up,,Also the Flat Duo Jets,,,
,,,,2015-12-01,27,Werewolves Of London,David Lindley & El Rayo-X,Very Greasy,,Miss that Warren,,,
,,,,2015-12-01,28,Indian Names,Barcelona,Simon Basic,,Miss these guys,,,
,,,,2015-12-01,29,Can't Make Your Life Better,Lilys,Better can't make your life better,,Waves of colors before me,,,
,,,,2015-12-01,30,BREAK,,,,,,,
,,,,2015-12-01,31,I Wanna Be Your Lover,Yo La Tengo,I'm Not There Original Soundtrack (Disc 2),,Dylanesque,,,
,,,,2015-12-01,32,Cowboys,Tijuana No,Lo Mejor de Tijuana No,,Frantic and Mexican,,,
,,,,2015-12-01,33,I'd Say That You Were Upset,Young Fresh Fellows,Totally Lost,,Just a hunch,,,
,,,,2015-12-01,34,Eggy in a Bready II,Heavy Vegetable,The Amazing Undersea Adventures of Aqua Kitty and Friends,,I have everything I need,,,
,,,,2015-12-01,35,BREAK,,,,,,,
,,,,2015-12-01,36,Ruby,The Apples In Stereo,Her Wallpaper Reverie,,Smooth sailing from here on out,,,
,,,,2015-12-01,37,Just,Radiohead,The Best Of [Disc 1],,"Oh stop it, Thom",,,
,,,,2015-12-01,38,She Ain't Speakin' Now,of montreal,PV Digest #1- Winter 2014,,So Bowie,,,
,,,,2015-12-01,39,Ville Cranian (Circles) (Sun Araw),Moon Duo,Circles Remixed,,Warped loops aplenty,,,
,,,,2015-12-01,40,BREAK,,,,,,,
,,,,2015-12-01,41,Imaginary World,Ashtech,Walkin' Target,,Dubspace,,,
,,,,2015-12-08,00,Playlist for 2015-12-08,,,,,X,,
,,,,2015-12-15,00,???,,,,,X,,
,,,,2015-12-22,00,Playlist for 2015-12-22,,,,,X,,
,,,,2015-12-22,01,A Minha Menina,The Bees,Kick-Ass 2,,Still fuzzed out,,,
,,,,2015-12-22,02,BREAK,,,,,,,
,,,,2015-12-22,03,Dunes,Alabama Shakes,Sound & Color,,Flathead Mick doesn't think I'm lacking,,,
,,,,2015-12-22,04,Head Rush,Heavy Vegetable,The Amazing Undersea Adventures of Aqua Kitty and Friends,,Could be my theme song,,,
,,,,2015-12-22,05,Whole Lotta Nothing,Grand Mal,Maledictions,,The big one,,,
,,,,2015-12-22,06,Sequel to the Prequel,Babyshambles,Sequel To The Prequel (Deluxe Edition),,From the UK? Really?,,,
,,,,2015-12-22,07,BREAK,,,,,,,
,,,,2015-12-22,08,Guns Of Brixton,Nouvelle Vague & Camille,Bleep 100 Tracks 2004 - 2014,,Hard to ruin a Clash song,,,
,,,,2015-12-22,09,Let Me Teach You How To Eat,Reverend Horton Heat,Rev,,And shred too?,,,
,,,,2015-12-22,10,Elevator Is Temporary,Lilys,Better can't make your life better,,Slow tripping,,,
,,,,2015-12-22,11,Normal Phoebe,Mike Gordon,The Last Step ,,Fish out of water,,,
,,,,2015-12-22,12,BREAK,,,,,,,
,,,,2015-12-22,13,Christmas Wrapping,Waitresses,,,For librarians everywhere,,,
,,,,2015-12-22,14,Young Boy Blues,Jennyanykind,I Need You,,Shuffling the blues,,,
,,,,2015-12-22,15,Wax Dummy,The Jon Spencer Blues Explosion,Freedom Tower - No Wave Dance Party 2015,,In fine form,,,
,,,,2015-12-22,16,Smiling,Black Lips,Underneath the Rainbow,,A rebel I tell you,,,
,,,,2015-12-22,17,BREAK,,,,,,,
,,,,2015-12-22,18,"Wait, Let's Go",Thee Oh Sees,LAMC #3,,I'll go anywhere for them,,,
,,,,2015-12-22,19,Somebody's In Love,Yo La Tengo,Stuff Like That There,,Sweet asnd to the point,,,
,,,,2015-12-22,20,Pyramid - When the Poor Can Reach the Moon,The Chills,Silver Bullets,,Of epic proportions,,,
,,,,2015-12-22,21,BREAK,,,,,,,
,,,,2015-12-22,22,In My Dreams,JEFF The Brotherhood,Wasted On The Dream,,Coming down like a ton of honey,,,
,,,,2015-12-22,23,Take It Easy,Voo Doo Phunk,Trip Hop Shop,,Something dubby,,,
,,,,2015-12-22,24,Doom,Deerhoof,Fever 121614,,Pulling it off live,,,
,,,,2015-12-22,25,BREAK,,,,,,,
,,,,2015-12-22,26,Higher,Memories,I Need You Bad,,Washed out memories,,,
,,,,2015-12-22,27,Kaltes Klares Wasser,Chicks On Speed,The Re-Releases of the Unreleases,,Ummm.... clink?,,,
,,,,2015-12-22,28,Causing a Rainbow,Moon Duo,Horror Tour,,Drone own and on.,,,
,,,,2015-12-22,29,She Ain't Speakin' Now,of montreal,PV Digest #1- Winter 2014,,3:40,,,
,,,,2015-12-22,30,BREAK,,,,,,,
,,,,2015-12-22,31,Who The Hell Is Mrs. Valdez?,Deadbolt,Tiki Man,,Still don't know who she is,,,
,,,,2015-12-22,32,Philthy Phyl Philanthropist,Jason Guy Smiley,Never Trust A Wiki - Acoustic Tribute To NoFX,,Listen! Whistling!,,,
,,,,2015-12-22,33,The Classic,Joan As Police Woman,The Classic,,Not the sound you'd expect,,,
,,,,2015-12-22,34,Day Tripper,The Budos Band,"Day Tripper/Money 7""",,In a minor mood,,,
,,,,2015-12-22,35,BREAK,,,,,,,
,,,,2015-12-22,36,Upper Ferry,Flin Flon,Boo Boo (Vinyl),,"Holland, Robinson, Needles",,,
,,,,2015-12-22,37,20th Century,Combustible Edison,The Impossible World,,It is officially the past.,,,
,,,,2015-12-22,38,El Sordo,Tijuana No,Lo Mejor de Tijuana No,,Classic stuff,,,
,,,,2015-12-22,39,BREAK,,,,,,,
,,,,2015-12-22,40,Bug Powder Dust (K&D Session™),Bomb The Bass,The K&D Sessions™,,7:21,,,
,,,,2015-12-29,00,Replay of 2014-11-25,,,,,X,,
,,,,2016-01-05,00,Replay of 2014-09-09,,,,,X,,
,,,,2016-01-12,00,Playlist for 2016-01-12,,,,,X,,
,,,,2016-01-12,01,Have Love Will Travel,The Black Keys,Thickfreakness,3:05,So rowdy!,,,
,,,,2016-01-12,02,BREAK,,,,,,,
,,,,2016-01-12,03,Bodies Made Of,Parquet Courts,Sunbathing Animal,3:21,The new guitar noise,,,
,,,,2016-01-12,04,Hypnotic,Painted Palms,PV Digest #2 - Summer 2014,3:28,Far away and dreaming,,,
,,,,2016-01-12,05,Betty Vs The NYPD,The Jon Spencer Blues Explosion,Freedom Tower - No Wave Dance Party 2015,1:53,Burning up strong,,,
,,,,2016-01-12,06,BREAK,,,,,,,
,,,,2016-01-12,07,Pick Up a Gun,Ray LaMontagne,Supernova,5:06,Moody,,,
,,,,2016-01-12,08,The Funeral,Band Of Horses,Everything All The Time,5:22,"Moody, moody",,,
,,,,2016-01-12,09,Director,The Antlers,Familiars,6:14,What's with all the moody?,,,
,,,,2016-01-12,10,BREAK,,,,,,,
,,,,2016-01-12,11,Daggers,Fujiya & Miyagi,Artificial Sweeteners,4:44,It's so retro,,,
,,,,2016-01-12,12,High Ball Stepper,Jack White,High Ball Stepper - Single,3:51,Deee-troit represent,,,
,,,,2016-01-12,13,Ville Cranian (Circles) (Sun Araw),Moon Duo,Circles Remixed,4:57,Space travels,,,
,,,,2016-01-12,14,Lay Down,Caravan Palace,<I°_°I>,3:09,Jitterier than before,,,
,,,,2016-01-12,15,BREAK,,,,,,,
,,,,2016-01-12,16,Steve Earle,Lydia Loveless,Indestructible Machine,4:28,A voice like Neko's,,,
,,,,2016-01-12,17,Alles kan beter,Amsterdam Klezmer Band,Zaraza,3:31,Nothing wails like klezmer,,,
,,,,2016-01-12,18,Black Cherry Pie,JEFF The Brotherhood,Wasted On The Dream,4:12,It's the total rock vibe,,,
,,,,2016-01-12,19,BREAK,,,,,,,
,,,,2016-01-12,20,Fugitive Air,of Montreal,Polyvinyl 2013 Summer Sampler,4:13,Very pavementy,,,
,,,,2016-01-12,21,Dune Buggy [Live],The Presidents of the United States of America,Thanks! For The Feedback,2:36,Going out to the other POTUS,,,
,,,,2016-01-12,22,Moving To The Left,Woods,With Light & With Love,5:23,Are we?,,,
,,,,2016-01-12,23,BREAK,,,,,,,
,,,,2016-01-12,24,Papapapa,Les Thugs,As Happy As Possible,3:25,Old punk never dies,,,
,,,,2016-01-12,25,Bomberclaad Joint (K&D Session™),Knowtoryus,The K&D Sessions™,3:48,"I don't know, but I'm interested",,,
,,,,2016-01-12,26,Hipbrass,Frohlocker,Sun Dub Vol. 2,3:29,Like frolicker?,,,
,,,,2016-01-12,27,BREAK,,,,,,,
,,,,2016-01-12,28,Holy City,Joan As Police Woman,The Classic,4:40,Funkin' out,,,
,,,,2016-01-12,29,Witches Boogaloo,The Sugarman 3,Daptone Gold II,4:03,Boogaloo with the best,,,
,,,,2016-01-12,30,El Disco Anal,Los Amigos Invisibles,,6:14,Dance your butts off!,,,
,,,,2016-01-12,31,BREAK,,,,,,,
,,,,2016-01-12,32,Got a Woman,EODM (Eagles of Death Metal),Zipper Down,2:02,The fastest shuffle,,,
